Facility ID,Facility Criteria Exception Name,Facility Criteria Exception Reason
4000339,Width,should be between 3 and 30
4000340,Length,should be between 4 and 50
4000340,Width,should be between 3 and 30
4000341,Length,should be between 4 and 50
4000341,Width,should be between 3 and 30
2028809,Length,should be between 17 and 26
2028809,Width,should be between 9 and 18
4000344,Length,should be between 4 and 50
4000344,Width,should be between 3 and 30
4000347,Length,should be between 4 and 50
4000347,Width,should be between 3 and 30
4000359,Length,should be between 4 and 50
4000359,Width,should be between 3 and 30
4000360,Length,should be between 4 and 50
4000360,Width,should be between 3 and 30
4000365,Length,should be between 17 and 26
4000365,Width,should be between 9 and 18
4028540,Width,should be between 53 and 100
4000373,Length,should be between 4 and 50
4000373,Width,should be between 3 and 30
4000376,Length,should be between 4 and 50
4000376,Width,should be between 3 and 30
4000378,Length,should be between 4 and 50
4000378,Width,should be between 3 and 30
4113997,Length,should be between 4 and 50
4113997,Width,should be between 3 and 30
4074492,Length,should be between 4 and 50
4074492,Width,should be between 3 and 30
4000406,Length,should be between 4 and 50
4000406,Width,should be between 3 and 30
4080256,Length,should be between 4 and 50
4080256,Width,should be between 3 and 30
4000414,Length,should be between 4 and 50
4000414,Width,should be between 3 and 30
4000416,Length,should be between 4 and 50
4000416,Width,should be between 3 and 30
4000417,Length,should be between 4 and 50
4000417,Width,should be between 3 and 30
4083020,Length,should be between 4 and 50
4083020,Width,should be between 3 and 30
4000473,Length,should be between 4 and 50
4000473,Width,should be between 3 and 30
4000482,Length,should be between 4 and 50
4000482,Width,should be between 3 and 30
4000492,Length,should be between 4 and 50
4000492,Width,should be between 3 and 30
4000493,Length,should be between 4 and 50
4000493,Width,should be between 3 and 30
4101278,Length,should be between 4 and 50
4101278,Width,should be between 3 and 30
4000515,Length,should be between 4 and 50
4000515,Width,should be between 3 and 30
4000529,Length,should be between 4 and 50
4000529,Width,should be between 3 and 30
4000531,Length,should be between 4 and 50
4000531,Width,should be between 3 and 30
4114300,Length,should be between 17 and 26
4114300,Width,should be between 9 and 18
4000579,Length,should be between 4 and 50
4000579,Width,should be between 3 and 30
4000583,Length,should be between 4 and 50
4000583,Width,should be between 3 and 30
4000584,Length,should be between 4 and 50
4000584,Width,should be between 3 and 30
4000585,Length,should be between 4 and 50
4000585,Width,should be between 3 and 30
4000586,Length,should be between 4 and 50
4000586,Width,should be between 3 and 30
4000588,Length,should be between 4 and 50
4000588,Width,should be between 3 and 30
4000615,Length,should be between 4 and 50
4000615,Width,should be between 3 and 30
4000623,Length,should be between 4 and 50
4000623,Width,should be between 3 and 30
4000629,Length,should be between 4 and 50
4000629,Width,should be between 3 and 30
4000649,Length,should be between 4 and 50
4000649,Width,should be between 3 and 30
4000657,Length,should be between 4 and 50
4000657,Width,should be between 3 and 30
4000666,Length,should be between 4 and 50
4000666,Width,should be between 3 and 30
4000667,Length,should be between 4 and 50
4000667,Width,should be between 3 and 30
4000674,Length,should be between 4 and 50
4000674,Width,should be between 3 and 30
4000677,Length,should be between 4 and 50
4000677,Width,should be between 3 and 30
4117445,Length,should be between 17 and 26
4117445,Width,should be between 9 and 18
4000688,Length,should be between 4 and 50
4000688,Width,should be between 3 and 30
4000696,Length,should be between 4 and 50
4000696,Width,should be between 3 and 30
4000709,Length,should be between 4 and 50
4000709,Width,should be between 3 and 30
4000714,Length,should be between 4 and 50
4000714,Width,should be between 3 and 30
4000721,Length,should be between 4 and 50
4000721,Width,should be between 3 and 30
4000725,Length,should be between 4 and 50
4000725,Width,should be between 3 and 30
4000737,Length,should be between 4 and 50
4000737,Width,should be between 3 and 30
4000751,Length,should be between 4 and 50
4000751,Width,should be between 3 and 30
4000753,Length,should be between 4 and 50
4000753,Width,should be between 3 and 30
4000760,Length,should be between 4 and 50
4000760,Width,should be between 3 and 30
4000762,Length,should be between 4 and 50
4000762,Width,should be between 3 and 30
4000766,Length,should be between 4 and 50
4000766,Width,should be between 3 and 30
4000767,Length,should be between 4 and 50
4000767,Width,should be between 3 and 30
4118020,Length,should be between 4 and 50
4118020,Width,should be between 3 and 30
4000776,Length,should be between 4 and 50
4000776,Width,should be between 3 and 30
4000791,Length,should be between 4 and 50
4000791,Width,should be between 3 and 30
4000792,Length,should be between 4 and 50
4000792,Width,should be between 3 and 30
4000793,Length,should be between 4 and 50
4000793,Width,should be between 3 and 30
4000796,Length,should be between 4 and 50
4000796,Width,should be between 3 and 30
4000800,Length,should be between 4 and 50
4000800,Width,should be between 3 and 30
4000807,Length,should be between 4 and 50
4000807,Width,should be between 3 and 30
4000809,Length,should be between 4 and 50
4000809,Width,should be between 3 and 30
4000842,Length,should be between 4 and 50
4000842,Width,should be between 3 and 30
4000847,Length,should be between 4 and 50
4000847,Width,should be between 3 and 30
4000849,Length,should be between 4 and 50
4000849,Width,should be between 3 and 30
4000867,Length,should be between 4 and 50
4000867,Width,should be between 3 and 30
4000868,Length,should be between 4 and 50
4000868,Width,should be between 3 and 30
4000879,Length,should be between 4 and 50
4000879,Width,should be between 3 and 30
4000886,Length,should be between 4 and 50
4000886,Width,should be between 3 and 30
4000887,Length,should be between 4 and 50
4000887,Width,should be between 3 and 30
4000905,Length,should be between 4 and 50
4000905,Width,should be between 3 and 30
4000907,Length,should be between 4 and 50
4000907,Width,should be between 3 and 30
4000909,Length,should be between 4 and 50
4000909,Width,should be between 3 and 30
4000912,Length,should be between 4 and 50
4000912,Width,should be between 3 and 30
4000914,Length,should be between 4 and 50
4000914,Width,should be between 3 and 30
4000918,Length,should be between 4 and 50
4000918,Width,should be between 3 and 30
4000922,Length,should be between 4 and 50
4000922,Width,should be between 3 and 30
4000923,Length,should be between 4 and 50
4000923,Width,should be between 3 and 30
4000924,Length,should be between 4 and 50
4000924,Width,should be between 3 and 30
4000925,Length,should be between 4 and 50
4000925,Width,should be between 3 and 30
4000929,Length,should be between 4 and 50
4000929,Width,should be between 3 and 30
4000933,Length,should be between 4 and 50
4000933,Width,should be between 3 and 30
4000934,Length,should be between 4 and 50
4000934,Width,should be between 3 and 30
4000943,Length,should be between 4 and 50
4000943,Width,should be between 3 and 30
4000944,Length,should be between 4 and 50
4000944,Width,should be between 3 and 30
4000948,Length,should be between 4 and 50
4000948,Width,should be between 3 and 30
4000949,Length,should be between 4 and 50
4000949,Width,should be between 3 and 30
4000952,Length,should be between 4 and 50
4000952,Width,should be between 3 and 30
4000956,Length,should be between 4 and 50
4000956,Width,should be between 3 and 30
4000957,Length,should be between 4 and 50
4000957,Width,should be between 3 and 30
4000975,Length,should be between 4 and 50
4000975,Width,should be between 3 and 30
4000984,Length,should be between 17 and 26
4000984,Width,should be between 9 and 18
4001009,Length,should be between 4 and 50
4001009,Width,should be between 3 and 30
4001017,Length,should be between 4 and 50
4001017,Width,should be between 3 and 30
4001018,Length,should be between 4 and 50
4001018,Width,should be between 3 and 30
4001022,Length,should be between 4 and 50
4001022,Width,should be between 3 and 30
4001025,Length,should be between 4 and 50
4001025,Width,should be between 3 and 30
4001029,Length,should be between 4 and 50
4001029,Width,should be between 3 and 30
4001060,Length,should be between 4 and 50
4001060,Width,should be between 3 and 30
4001061,Length,should be between 4 and 50
4001061,Width,should be between 3 and 30
4001062,Length,should be between 4 and 50
4001062,Width,should be between 3 and 30
4001068,Length,should be between 4 and 50
4001068,Width,should be between 3 and 30
4028257,Length,should be between 4 and 50
4028257,Width,should be between 3 and 30
4028258,Length,should be between 4 and 50
4028258,Width,should be between 3 and 30
4001072,Length,should be between 4 and 50
4001072,Width,should be between 3 and 30
2001081,Length,should be between 17 and 26
2001081,Width,should be between 9 and 18
4001086,Length,should be between 17 and 26
4001086,Width,should be between 9 and 18
4001097,Length,should be between 4 and 50
4001097,Width,should be between 3 and 30
4015865,Stations,should be between 5 and 700
4001108,Length,should be between 4 and 50
4001108,Width,should be between 3 and 30
4039874,Length,should be between 4 and 50
4039874,Width,should be between 3 and 30
4001146,Length,should be between 4 and 50
4001146,Width,should be between 3 and 30
4001148,Length,should be between 4 and 50
4001148,Width,should be between 3 and 30
4001164,Length,should be between 4 and 50
4001164,Width,should be between 3 and 30
4001169,Length,should be between 4 and 50
4001169,Width,should be between 3 and 30
4001177,Length,should be between 4 and 50
4001177,Width,should be between 3 and 30
4001185,Length,should be between 4 and 50
4001185,Width,should be between 3 and 30
4001186,Length,should be between 4 and 50
4001186,Width,should be between 3 and 30
4001187,Length,should be between 4 and 50
4001187,Width,should be between 3 and 30
4113151,Length,should be between 17 and 26
4113151,Width,should be between 9 and 18
4001192,Length,should be between 4 and 50
4001192,Width,should be between 3 and 30
4116909,Length,should be between 4 and 50
4116909,Width,should be between 3 and 30
4116910,Length,should be between 4 and 50
4116910,Width,should be between 3 and 30
4001221,Length,should be between 4 and 50
4001221,Width,should be between 3 and 30
4114615,Length,should be between 4 and 50
4114615,Width,should be between 3 and 30
4001224,Length,should be between 4 and 50
4001224,Width,should be between 3 and 30
4001235,Length,should be between 4 and 50
4001235,Width,should be between 3 and 30
4001248,Length,should be between 4 and 50
4001248,Width,should be between 3 and 30
4101859,Length,should be between 4 and 50
4101859,Width,should be between 3 and 30
4001258,Length,should be between 4 and 50
4001258,Width,should be between 3 and 30
4001262,Length,should be between 4 and 50
4001262,Width,should be between 3 and 30
4001263,Length,should be between 4 and 50
4001263,Width,should be between 3 and 30
4027266,Length,should be between 4 and 50
4027266,Width,should be between 3 and 30
4001287,Length,should be between 4 and 50
4001287,Width,should be between 3 and 30
4001289,Length,should be between 4 and 50
4001289,Width,should be between 3 and 30
4001321,Length,should be between 4 and 50
4001321,Width,should be between 3 and 30
4001327,Length,should be between 4 and 50
4001327,Width,should be between 3 and 30
4001334,Length,should be between 4 and 50
4001334,Width,should be between 3 and 30
4001343,Length,should be between 17 and 26
4001343,Width,should be between 9 and 18
4028118,Length,should be between 17 and 26
4028118,Width,should be between 9 and 18
4001344,Length,should be between 4 and 50
4001344,Width,should be between 3 and 30
4001345,Length,should be between 4 and 50
4001345,Width,should be between 3 and 30
4001350,Length,should be between 4 and 50
4001350,Width,should be between 3 and 30
4001361,Length,should be between 4 and 50
4001361,Width,should be between 3 and 30
2073763,Length,should be between 17 and 26
2073763,Width,should be between 9 and 18
4114933,Length,should be between 4 and 50
4114933,Width,should be between 3 and 30
4001394,Length,should be between 4 and 50
4001394,Width,should be between 3 and 30
4001405,Length,should be between 4 and 50
4001405,Width,should be between 3 and 30
4001406,Length,should be between 4 and 50
4001406,Width,should be between 3 and 30
4001407,Length,should be between 4 and 50
4001407,Width,should be between 3 and 30
4016288,Stations,should be between 5 and 700
4001416,Length,should be between 4 and 50
4001416,Width,should be between 3 and 30
4001417,Length,should be between 4 and 50
4001417,Width,should be between 3 and 30
4001421,Length,should be between 4 and 50
4001421,Width,should be between 3 and 30
4001462,Length,should be between 4 and 50
4001462,Width,should be between 3 and 30
4001463,Length,should be between 4 and 50
4001463,Width,should be between 3 and 30
4001477,Length,should be between 17 and 26
4001477,Width,should be between 9 and 18
4001478,Length,should be between 17 and 26
4001478,Width,should be between 9 and 18
4001484,Length,should be between 4 and 50
4001484,Width,should be between 3 and 30
4100354,Width,should be between 53 and 100
4115983,Length,should be between 17 and 26
4115983,Width,should be between 9 and 18
4115984,Length,should be between 17 and 26
4115984,Width,should be between 9 and 18
4001498,Length,should be between 4 and 50
4001498,Width,should be between 3 and 30
4001542,Length,should be between 4 and 50
4001542,Width,should be between 3 and 30
4001548,Length,should be between 4 and 50
4001548,Width,should be between 3 and 30
4115752,Length,should be between 17 and 26
4115752,Width,should be between 9 and 18
4009257,OvalTrackLanes,should be between 4 and 10
4009257,OvalTrackLength,should be 400
4009257,SprintStraightLength,should be between 100 and 150
4009257,StraightTrackLanes,should be between 4 and 12
4001606,Length,should be between 4 and 50
4001606,Width,should be between 3 and 30
4001630,Length,should be between 17 and 26
4001630,Width,should be between 9 and 18
4001635,Length,should be between 17 and 26
4001635,Width,should be between 9 and 18
4001636,Length,should be between 4 and 50
4001636,Width,should be between 3 and 30
4087037,Length,should be between 4 and 50
4087037,Width,should be between 3 and 30
2026136,Length,should be between 17 and 26
2026136,Width,should be between 9 and 18
4001666,Length,should be between 4 and 50
4001666,Width,should be between 3 and 30
4009258,OvalTrackLength,should be 400
4009258,SprintStraightLength,should be between 100 and 150
4009258,StraightTrackLanes,should be between 4 and 12
2026253,OvalTrackLength,should be 400
2026253,SprintStraightLength,should be between 100 and 150
2026253,StraightTrackLanes,should be between 4 and 12
4071946,Length,should be between 17 and 26
4071946,Width,should be between 9 and 18
4001704,Length,should be between 17 and 26
4001704,Width,should be between 9 and 18
2001712,Length,should be between 17 and 26
2001712,Width,should be between 9 and 18
4001713,Length,should be between 4 and 50
4001713,Width,should be between 3 and 30
2073593,Length,should be between 17 and 26
2073593,Width,should be between 9 and 18
4073592,Length,should be between 4 and 50
4001748,Length,should be between 17 and 26
2001751,Length,should be between 17 and 26
2001751,Width,should be between 9 and 18
4001752,Length,should be between 4 and 50
4001752,Width,should be between 3 and 30
4001790,Length,should be between 4 and 50
4001790,Width,should be between 3 and 30
4103396,Length,should be between 4 and 50
4103396,Width,should be between 3 and 30
4001819,Length,should be between 4 and 50
4001819,Width,should be between 3 and 30
2009264,OvalTrackLength,should be 400
2009264,SprintStraightLength,should be between 100 and 150
2009264,StraightTrackLanes,should be between 4 and 12
4125936,Length,should be between 17 and 26
4125936,Width,should be between 9 and 18
4126070,Length,should be between 17 and 26
4073592,Width,should be between 3 and 30
4126070,Width,should be between 9 and 18
2039457,Length,should be between 17 and 26
4001946,Length,should be between 4 and 50
4001946,Width,should be between 3 and 30
4001957,Length,should be between 17 and 26
4001957,Width,should be between 9 and 18
4001977,Length,should be between 4 and 50
4001977,Width,should be between 3 and 30
2001980,Length,should be between 17 and 26
2001980,Width,should be between 9 and 18
2089718,Length,should be between 17 and 26
2089718,Width,should be between 9 and 18
4114896,Length,should be between 4 and 50
4114896,Width,should be between 3 and 30
4118064,Length,should be between 4 and 50
4118064,Width,should be between 3 and 30
2074254,Length,should be between 17 and 26
2074254,Width,should be between 9 and 18
2074256,Length,should be between 17 and 26
2074256,Width,should be between 9 and 18
2002012,Length,should be between 17 and 26
2002012,Width,should be between 9 and 18
2002019,ClearanceExistsBallShuttlecock,does not meet Active Places Criteria
4115738,Length,should be between 17 and 26
4115738,Width,should be between 9 and 18
4002038,Length,should be between 17 and 26
4002038,Width,should be between 9 and 18
2079101,Length,should be between 17 and 26
2079101,Width,should be between 9 and 18
4072078,Length,should be between 17 and 26
4072078,Width,should be between 9 and 18
4038105,Length,should be between 4 and 50
4038105,Width,should be between 3 and 30
2028710,ClearanceExistsBallShuttlecock,does not meet Active Places Criteria
4002091,Length,should be between 4 and 50
4002091,Width,should be between 3 and 30
4078751,Length,should be between 4 and 50
4078751,Width,should be between 3 and 30
4002148,Length,should be between 4 and 50
4002148,Width,should be between 3 and 30
4074574,Length,should be between 4 and 50
4074574,Width,should be between 3 and 30
4002240,Length,should be between 4 and 50
4002240,Width,should be between 3 and 30
4002247,Length,should be between 4 and 50
4002247,Width,should be between 3 and 30
4114305,Length,should be between 17 and 26
4114305,Width,should be between 9 and 18
4002271,Length,should be between 4 and 50
4002271,Width,should be between 3 and 30
4121648,Length,should be between 4 and 50
4121648,Width,should be between 3 and 30
4126152,Length,should be between 17 and 26
4126152,Width,should be between 9 and 18
4000084,Length,should be between 4 and 50
2081130,Length,should be between 17 and 26
2081130,Width,should be between 9 and 18
4002313,Length,should be between 4 and 50
4002313,Width,should be between 3 and 30
4002321,Length,should be between 4 and 50
4002321,Width,should be between 3 and 30
2002330,Length,should be between 17 and 26
2002330,Width,should be between 9 and 18
4002377,Length,should be between 4 and 50
4002377,Width,should be between 3 and 30
4028139,Length,should be between 4 and 50
4028139,Width,should be between 3 and 30
4116927,Length,should be between 17 and 26
4116927,Width,should be between 9 and 18
4002425,Length,should be between 4 and 50
4002425,Width,should be between 3 and 30
4002426,Length,should be between 4 and 50
4002426,Width,should be between 3 and 30
4002454,Length,should be between 4 and 50
4002454,Width,should be between 3 and 30
4002456,Length,should be between 4 and 50
4002456,Width,should be between 3 and 30
4002464,Length,should be between 4 and 50
4002464,Width,should be between 3 and 30
4002470,Length,should be between 4 and 50
4002470,Width,should be between 3 and 30
4002506,Length,should be between 4 and 50
4002506,Width,should be between 3 and 30
4002507,Length,should be between 4 and 50
4002507,Width,should be between 3 and 30
4002510,Length,should be between 17 and 26
4002510,Width,should be between 9 and 18
4002511,Length,should be between 4 and 50
4002511,Width,should be between 3 and 30
2002517,Length,should be between 17 and 26
2002517,Width,should be between 9 and 18
4002532,Length,should be between 4 and 50
4002532,Width,should be between 3 and 30
4002535,Length,should be between 4 and 50
4002535,Width,should be between 3 and 30
4002584,Length,should be between 4 and 50
4002584,Width,should be between 3 and 30
4002628,Length,should be between 4 and 50
4002628,Width,should be between 3 and 30
4026214,Length,should be between 4 and 50
4026214,Width,should be between 3 and 30
4002640,Length,should be between 17 and 26
4002640,Width,should be between 9 and 18
4002641,Length,should be between 17 and 26
4002641,Width,should be between 9 and 18
4002642,Length,should be between 17 and 26
4002642,Width,should be between 9 and 18
4002643,Length,should be between 17 and 26
4002643,Width,should be between 9 and 18
4002644,Length,should be between 17 and 26
4002644,Width,should be between 9 and 18
4002667,Length,should be between 4 and 50
4002667,Width,should be between 3 and 30
4002668,Length,should be between 4 and 50
4002668,Width,should be between 3 and 30
4002693,Length,should be between 4 and 50
4002693,Width,should be between 3 and 30
4002697,Length,should be between 4 and 50
4002697,Width,should be between 3 and 30
4026979,Length,should be between 4 and 50
4026979,Width,should be between 3 and 30
4002713,Length,should be between 4 and 50
4002713,Width,should be between 3 and 30
4002714,Length,should be between 4 and 50
4002714,Width,should be between 3 and 30
4114295,Length,should be between 4 and 50
4114295,Width,should be between 3 and 30
2002715,ClearanceExistsBallShuttlecock,does not meet Active Places Criteria
4002759,Length,should be between 4 and 50
4002759,Width,should be between 3 and 30
4029171,Width,should be between 53 and 100
4071149,Length,should be between 17 and 26
4071149,Width,should be between 9 and 18
2009281,OvalTrackLength,should be 400
2009281,SprintStraightLength,should be between 100 and 150
2009281,StraightTrackLanes,should be between 4 and 12
4002893,Length,should be between 4 and 50
4002893,Width,should be between 3 and 30
4002895,Length,should be between 4 and 50
4002895,Width,should be between 3 and 30
4002901,Length,should be between 4 and 50
4002901,Width,should be between 3 and 30
4002902,Length,should be between 4 and 50
4002902,Width,should be between 3 and 30
4114130,Length,should be between 4 and 50
4114130,Width,should be between 3 and 30
4002911,Length,should be between 4 and 50
4002911,Width,should be between 3 and 30
4002913,Length,should be between 4 and 50
4002913,Width,should be between 3 and 30
4002919,Length,should be between 4 and 50
4002919,Width,should be between 3 and 30
4002926,Length,should be between 4 and 50
4002926,Width,should be between 3 and 30
2026955,Length,should be between 17 and 26
2026955,Width,should be between 9 and 18
4105031,Length,should be between 4 and 50
4105031,Width,should be between 3 and 30
4114772,Length,should be between 17 and 26
4114772,Width,should be between 9 and 18
4002972,Length,should be between 17 and 26
4002972,Width,should be between 9 and 18
4003038,Length,should be between 4 and 50
4003038,Width,should be between 3 and 30
2009284,OvalTrackLength,should be 400
2009284,SprintStraightLength,should be between 100 and 150
2009284,StraightTrackLanes,should be between 4 and 12
4117226,Length,should be between 17 and 26
4117226,Width,should be between 9 and 18
2009285,OvalTrackLength,should be 400
2009285,SprintStraightLength,should be between 100 and 150
2009285,StraightTrackLanes,should be between 4 and 12
2003098,ClearanceExistsBallShuttlecock,does not meet Active Places Criteria
4003121,Length,should be between 4 and 50
4003121,Width,should be between 3 and 30
2071219,Length,should be between 17 and 26
2071219,Width,should be between 9 and 18
4003138,Length,should be between 17 and 26
4003138,Width,should be between 9 and 18
4003148,Length,should be between 4 and 50
4003148,Width,should be between 3 and 30
4003149,Length,should be between 4 and 50
4003149,Width,should be between 3 and 30
4003156,Length,should be between 4 and 50
4003156,Width,should be between 3 and 30
2003218,Length,should be between 17 and 26
2003218,Width,should be between 9 and 18
4071769,Length,should be between 17 and 26
4071769,Width,should be between 9 and 18
2003303,Length,should be between 17 and 26
2003303,Width,should be between 9 and 18
2003359,Length,should be between 17 and 26
2003359,Width,should be between 9 and 18
4106154,Length,should be between 17 and 26
4106154,Width,should be between 9 and 18
2003383,Length,should be between 17 and 26
2003383,Width,should be between 9 and 18
4003394,Length,should be between 4 and 50
4003394,Width,should be between 3 and 30
4003413,Length,should be between 4 and 50
4003413,Width,should be between 3 and 30
4077976,Length,should be between 4 and 50
4077976,Width,should be between 3 and 30
4077977,Length,should be between 4 and 50
4077977,Width,should be between 3 and 30
4102651,Length,should be between 17 and 26
4102651,Width,should be between 9 and 18
4003425,Length,should be between 4 and 50
4003425,Width,should be between 3 and 30
2009292,OvalTrackLength,should be 400
2009292,SprintStraightLength,should be between 100 and 150
2009292,StraightTrackLanes,should be between 4 and 12
2039295,Length,should be between 17 and 26
2039295,Width,should be between 9 and 18
2039296,Length,should be between 17 and 26
2039296,Width,should be between 9 and 18
4026909,Length,should be between 17 and 26
4026909,Width,should be between 9 and 18
4003467,Length,should be between 4 and 50
4003467,Width,should be between 3 and 30
4104238,Length,should be between 4 and 50
4104238,Width,should be between 3 and 30
2072101,Length,should be between 17 and 26
2072101,Width,should be between 9 and 18
2003498,Length,should be between 17 and 26
2003498,Width,should be between 9 and 18
2027117,Length,should be between 17 and 26
2027117,Width,should be between 9 and 18
2027118,Length,should be between 17 and 26
2027118,Width,should be between 9 and 18
2071774,ClearanceExistsBallShuttlecock,does not meet Active Places Criteria
2079148,Stations,should be between 5 and 700
4079149,Length,should be between 4 and 50
4079149,Width,should be between 3 and 30
2009294,OvalTrackLength,should be 400
2009294,SprintStraightLength,should be between 100 and 150
2009294,StraightTrackLanes,should be between 4 and 12
2003507,Length,should be between 17 and 26
2003507,Width,should be between 9 and 18
4009296,OvalTrackLength,should be 400
4009296,SprintStraightLength,should be between 100 and 150
4009296,StraightTrackLanes,should be between 4 and 12
4102654,Length,should be between 4 and 50
4102654,Width,should be between 3 and 30
4003585,Length,should be between 4 and 50
4003585,Width,should be between 3 and 30
4003587,Length,should be between 17 and 26
4003587,Width,should be between 9 and 18
4003588,Length,should be between 17 and 26
4003588,Width,should be between 9 and 18
4115737,Length,should be between 17 and 26
4115737,Width,should be between 9 and 18
2003609,Length,should be between 17 and 26
2003609,Width,should be between 9 and 18
2028149,Length,should be between 17 and 26
2028149,Width,should be between 9 and 18
2077945,Length,should be between 17 and 26
2077945,Width,should be between 9 and 18
2027913,Width,should be between 53 and 100
4003687,Length,should be between 4 and 50
4003687,Width,should be between 3 and 30
4009304,OvalTrackLength,should be 400
4009304,SprintStraightLength,should be between 100 and 150
4009304,StraightTrackLanes,should be between 4 and 12
2028328,Length,should be between 17 and 26
2028328,Width,should be between 9 and 18
2079023,Length,should be between 17 and 26
2079023,Width,should be between 9 and 18
2003737,Length,should be between 17 and 26
2003737,Width,should be between 9 and 18
2003738,Length,should be between 17 and 26
2003738,Width,should be between 9 and 18
2003739,Length,should be between 17 and 26
2003739,Width,should be between 9 and 18
2003740,Length,should be between 17 and 26
2003740,Width,should be between 9 and 18
4003741,Length,should be between 4 and 50
4003741,Width,should be between 3 and 30
2003746,Length,should be between 17 and 26
2003746,Width,should be between 9 and 18
2071553,Length,should be between 17 and 26
2071553,Width,should be between 9 and 18
2009307,OvalTrackLength,should be 400
2009307,SprintStraightLength,should be between 100 and 150
2009307,StraightTrackLanes,should be between 4 and 12
4003802,Length,should be between 4 and 50
4003802,Width,should be between 3 and 30
2003809,Length,should be between 17 and 26
2003809,Width,should be between 9 and 18
2003810,Length,should be between 17 and 26
2003810,Width,should be between 9 and 18
4003811,Length,should be between 4 and 50
4003811,Width,should be between 3 and 30
2003812,Length,should be between 17 and 26
2003812,Width,should be between 9 and 18
2003840,Length,should be between 17 and 26
2003840,Width,should be between 9 and 18
4003841,Length,should be between 4 and 50
4127123,Length,should be between 17 and 26
4127123,Width,should be between 9 and 18
4127124,Length,should be between 4 and 50
4127124,Width,should be between 3 and 30
4086497,Length,should be between 4 and 50
4086497,Width,should be between 3 and 30
2003887,ClearanceExistsBallShuttlecock,does not meet Active Places Criteria
4003898,Length,should be between 4 and 50
4003898,Width,should be between 3 and 30
4003906,Length,should be between 17 and 26
4003906,Width,should be between 9 and 18
2026275,Length,should be between 17 and 26
2026275,Width,should be between 9 and 18
4003914,Length,should be between 4 and 50
4003914,Width,should be between 3 and 30
2080083,Length,should be between 17 and 26
2080083,Width,should be between 9 and 18
2003940,Length,should be between 17 and 26
2003940,Width,should be between 9 and 18
4115734,Length,should be between 17 and 26
4115734,Width,should be between 9 and 18
4027165,Length,should be between 400 and 6000
2071785,Length,should be between 17 and 26
2071785,Width,should be between 9 and 18
4091817,Length,should be between 4 and 50
4091817,Width,should be between 3 and 30
4004046,Length,should be between 4 and 50
4004046,Width,should be between 3 and 30
4027374,OvalTrackLength,should be 400
4027374,SprintStraightLength,should be between 100 and 150
4027374,StraightTrackLanes,should be between 4 and 12
2004083,Length,should be between 17 and 26
2004083,Width,should be between 9 and 18
2036321,Length,should be between 17 and 26
2036321,Width,should be between 9 and 18
4004109,Length,should be between 17 and 26
4004109,Width,should be between 9 and 18
4028473,Length,should be between 17 and 26
4028473,Width,should be between 9 and 18
4004152,Length,should be between 4 and 50
4004152,Width,should be between 3 and 30
4116434,Length,should be between 17 and 26
4116434,Width,should be between 9 and 18
4004172,ClearanceExistsBallShuttlecock,does not meet Active Places Criteria
4004178,Length,should be between 4 and 50
4004178,Width,should be between 3 and 30
4004180,Length,should be between 4 and 50
4004180,Width,should be between 3 and 30
4018021,Stations,should be between 5 and 700
2071543,Length,should be between 17 and 26
2071543,Width,should be between 9 and 18
4004210,Length,should be between 4 and 50
4004210,Width,should be between 3 and 30
4009317,OvalTrackLength,should be 400
4009317,SprintStraightLength,should be between 100 and 150
4009317,StraightTrackLanes,should be between 4 and 12
2004218,Length,should be between 17 and 26
2004218,Width,should be between 9 and 18
2028075,Length,should be between 17 and 26
2028075,Width,should be between 9 and 18
4004234,Length,should be between 4 and 50
4004234,Width,should be between 3 and 30
2028110,Length,should be between 17 and 26
2028110,Width,should be between 9 and 18
4009320,OvalTrackLength,should be 400
4009320,SprintStraightLength,should be between 100 and 150
4009320,StraightTrackLanes,should be between 4 and 12
4116166,Length,should be between 17 and 26
4116166,Width,should be between 9 and 18
4004261,Length,should be between 17 and 26
4004261,Width,should be between 9 and 18
4004262,Length,should be between 4 and 50
4004262,Width,should be between 3 and 30
2004270,Length,should be between 17 and 26
2004270,Width,should be between 9 and 18
2009321,OvalTrackLength,should be 400
2009321,SprintStraightLength,should be between 100 and 150
2009321,StraightTrackLanes,should be between 4 and 12
4004271,Length,should be between 4 and 50
4004271,Width,should be between 3 and 30
4111734,Length,should be between 17 and 26
4111734,Width,should be between 9 and 18
4004283,ClearanceExistsBallShuttlecock,does not meet Active Places Criteria
4071413,Length,should be between 17 and 26
4071413,Width,should be between 9 and 18
2004334,Length,should be between 17 and 26
2004334,Width,should be between 9 and 18
4101905,Length,should be between 17 and 26
4101905,Width,should be between 9 and 18
2027384,Length,should be between 17 and 26
2027384,Width,should be between 9 and 18
2027386,Length,should be between 17 and 26
2027386,Width,should be between 9 and 18
2072061,Length,should be between 17 and 26
2072061,Width,should be between 9 and 18
4004370,Length,should be between 17 and 26
4004370,Width,should be between 9 and 18
4082368,Length,should be between 17 and 26
4082368,Width,should be between 9 and 18
4004449,Length,should be between 4 and 50
4004449,Width,should be between 3 and 30
4029250,Bays,should be between 5 and 100
4029250,Length,should be between 100 and 500
2071403,Length,should be between 17 and 26
2071403,Width,should be between 9 and 18
4117501,Length,should be between 17 and 26
4117501,Width,should be between 9 and 18
4004562,Length,should be between 4 and 50
4004562,Width,should be between 3 and 30
